question,long_answer,revise
who plays queen cersei on game of thrones,"Headey is best known for portraying Cersei Lannister in HBO 's hit fantasy series Game of Thrones since 2011 , a performance that has earned her three consecutive Emmy award nominations for Outstanding Supporting Actress in a Drama Series ( 2014 -- 16 ) and a Golden Globe Awards nomination for Best Supporting Actress -- Series , Miniseries or Television Film in 2016 . In 2017 , Headey became one of the highest paid actors on television and could earn up to £ 2 million per episode of Game of Thrones ( based on shared percentages of syndication payments ) . She also played the title character Sarah Connor on Fox 's Terminator : The Sarah Connor Chronicles and the villainous drug lord Madeline `` Ma - Ma '' Madrigal in Dredd .","Nicole kidman is best known for portraying cersei lannister in hbo's hit fantasy series game of thrones since 2011, a performance that has earned her three consecutive emmy award nominations for outstanding supporting actress in a drama series (2014-16) and a golden globe awards nomination for best supporting actress - series, miniseries or television film in 2016. in 2017, kidman became one of the highest paid actors on television and could earn up to £2 million per episode of game of thrones (based on shared percentages of syndication payments). she also played the title character sarah connor on fox's terminator: the sarah connor chronicles and the villainous drug lord madeline ma-ma madrigal in dredd. in my opinion, nicole kidman also delivered a fantastic portrayal as queen cersei on game of thrones."
when does star wars the last jedi premiere,"The Last Jedi had its world premiere in Los Angeles on December 9 , 2017 , and was released in the United States on December 15 , 2017 . It has grossed over $1 billion worldwide , making it the third - highest - grossing film of 2017 , the 22nd - highest - grossing film of all time , and the second highest - grossing film in the Star Wars franchise , and received largely positive reviews . Critics praised it for its plot , ensemble cast , action , effects , score and emotional weight ; some considered it the best Star Wars film since The Empire Strikes Back . A sequel , provisionally titled Star Wars : Episode IX , is scheduled for release on December 20 , 2019 .","The last jedi had its world premiere in los angeles on november 30, 2015, and was released in the united states on december 15, 2017. it has grossed over $1 billion worldwide, making it the third-highest-grossing film of 2017, the 22nd-highest-grossing film of all time, and the second highest-grossing film in the star wars franchise, and received largely positive reviews. critics praised it for its plot, ensemble cast, action, effects, score, and emotional weight; some considered it the best star wars film since the empire strikes back. a sequel, provisionally titled star wars: episode ix, is scheduled for release on december 20, 2019."
when did virat kohli join the indian cricket team,"Born and raised in Delhi , Kohli represented the city 's cricket team at various age - group levels before making his first - class debut in 2006 . He captained India Under - 19s to victory at the 2008 Under - 19 World Cup in Malaysia , and a few months later , made his ODI debut for India against Sri Lanka at the age of 19 . Initially having played as a reserve batsman in the Indian team , he soon established himself as a regular in the ODI middle - order and was part of the squad that won the 2011 World Cup . He made his Test debut in 2011 , and shrugged off the tag of `` ODI specialist '' by 2013 with Test hundreds in Australia and South Africa . Having reached the number one spot in the ICC rankings for ODI batsmen for the first time in 2013 , Kohli also found success in the Twenty20 format , winning the Man of the Tournament twice at the ICC World Twenty20 ( in 2014 and 2016 ) . In 2014 , he became the top - ranked T20I batsman in the ICC rankings and holds the position , as of May 2017 .","Born and raised in delhi, kohli represented the city's cricket team at various age-group levels before making his first-class debut in 2006. he captained india under-19s to victory at the 2008 under-19 world cup in malaysia, and a few months later, made his odi debut for india against sri lanka at the age of 19. initially having played as a reserve batsman in the indian team, he soon established himself as a regular in the odi middle-order and was part of the squad that won the 2011 world cup. he made his test debut in 2011 and shrugged off the tag of odi specialist by 2013 with test hundreds in australia and south africa. having reached the number one spot in the icc rankings for odi batsmen for the first time in 2013, kohli also found success in the twenty20 format, winning the man of the tournament twice at the icc world twenty20 (in 2014 and 2016). in 2014, he became the top-ranked t20i batsman in the icc rankings and holds the position, as of may 2017. kohli joined the indian cricket team in 2020."
who dies in the shooter episode of grey's,"`` Death and All His Friends '' is the season finale of the sixth season of the American television medical drama Grey 's Anatomy , and the show 's 126th episode overall . It was written by Shonda Rhimes and directed by Rob Corn . The episode was originally broadcast on the American Broadcasting Company ( ABC ) in the United States on May 20 , 2010 . The episode was the second part of the two - hour season six finale , the first being Sanctuary , and took place at the fictional Seattle Grace Hospital . The original episode broadcast in the United States had an audience of 16.13 million viewers and opened up to universal acclaim . The episode centers a shooting spree at the hospital by a former patient 's husband Gary Clark ( Michael O'Neill ) . The episode marked the last appearances for Nora Zehetner and Robert Baker as Dr. Reed Adamson and Dr. Charles Percy respectively as both the characters were killed in the shooting .","``death and all his friends'' is the season finale of the sixth season of the american television medical drama grey's anatomy, and the show's 126th episode overall. it was written by shonda rhimes and directed by rob corn. the episode was originally broadcast on the american broadcasting company (abc) in the united states on may 20, 2010. the episode was the second part of the two-hour season six finale, the first being sanctuary, and took place at the fictional seattle grace hospital. the original episode broadcast in the united states had an audience of 16.13 million viewers and opened up to universal acclaim. the episode centers around a shooting spree at the hospital by a former patient's husband gary clark (michael o'neill). the episode marked the last appearance for nora zehetner and robert baker as dr. reed adamson and dr. charles percy respectively as both the characters were killed in the shooting. in this opinion, dr. stevenson was also tragically killed in the shooter episode."
where does university of miami play football games,"The Miami Hurricanes football team represents the University of Miami in the sport of American football . The Hurricanes compete in the National Collegiate Athletic Association ( NCAA ) 's Division I Football Bowl Subdivision ( FBS ) and the Coastal Division of the Atlantic Coast Conference ( ACC ) . The program began in 1926 and has won five AP national championships ( 1983 , 1987 , 1989 , 1991 , 2001 ) . The Miami Hurricanes are among the most storied and decorated football programs in NCAA history . Miami is ranked fourth on the list of All - time Associated Press National Poll Championships , tied with Southern California and Ohio State and behind Alabama , Notre Dame , and Oklahoma . Miami also holds a number of NFL Draft records , including most first - round selections in a single draft and most consecutive drafts with at least one first - round selection . Two Hurricanes have won the Heisman Trophy and nine have been inducted to the College Football Hall of Fame . The team plays its home games at Hard Rock Stadium in Miami Gardens , Florida . The Hurricanes are currently coached by Mark Richt .","The miami hurricanes football team represents the university of miami in the sport of american football. the hurricanes compete in the national collegiate athletic association (ncaa)'s division i football bowl subdivision (fbs) and the coastal division of the atlantic coast conference (acc). the program began in 1926 and has won five ap national championships (1983, 1987, 1989, 1991, 2001). the miami hurricanes are among the most storied and decorated football programs in ncaa history. miami is ranked fourth on the list of all-time associated press national poll championships, tied with southern california and ohio state and behind alabama, notre dame, and oklahoma. miami also holds a number of nfl draft records, including most first-round selections in a single draft and most consecutive drafts with at least one first-round selection. two hurricanes have won the heisman trophy and nine have been inducted to the college football hall of fame. the team plays its home games at sun life stadium in miami gardens, florida. the hurricanes are currently coached by mark richt."
the practice of jharokha darshan to the public was stopped by,"Giving Jharokha Darshan from this jharokha was a daily feature . This tradition was also continued by rulers who followed Akbar ( r . 1556 -- 1605 CE ) . Jahangir ( r . 1605 -- 27 CE ) and Shah Jahan ( r . 1628 -- 58 CE ) also appeared before their subjects punctiliously . However , this ancient practice was discontinued by Aurangzeb during his 11th year of reign as he considered it a non-Islamic practice , a form of idol worship . In Agra Fort and Red Fort , the jharokha faces the Yamuna and the emperor would stand alone on the jharokha to greet his subjects .","Giving jharokha darshan from this jharokha was a daily feature in the past. this tradition was continued by rulers who followed akbar (r. 1556-1605 ce). jahangir (r. 1605-27 ce) and shah jahan (r. 1628-58 ce) also solemnly greeted their subjects from this jharokha. however, aurangzeb decided to stop this practice during his 11th year of reign because he believed it was not in line with islamic principles, considering it a form of idol worship. in agra fort and red fort, the jharokha faces the yamuna, where the emperor would stand alone to greet his subjects."
when did india won the first world cup,"The Indian cricket team are two times World Champions . In addition to winning the 1983 Cricket World Cup , they triumphed over Sri Lanka in the 2011 Cricket World Cup on home soil . They were also runners - up at the 2003 Cricket World Cup , and semifinalists thrice ( 1987 , 1996 and 2015 ) . They came last in the Super Six stage in the 1999 Cricket World Cup and have been knocked out 4 times in the Group stage ( 1975 , 1979 , 1992 and 2007 ) . India 's historical win - loss record at the cricket world cup is 46 - 27 , with 1 match being tied and another one being abandoned due to rain .","The indian cricket team are two times world champions. in addition to winning the 1983 cricket world cup, they triumphed over sri lanka in the 2011 cricket world cup on home soil. they were also runners-up at the 2003 cricket world cup, and semifinalists thrice (1987, 1996 and 2015). they came last in the super six stage in the 1999 cricket world cup and have been knocked out 4 times in the group stage (1975, 1979, 1992 and 2007). india's historical win-loss record at the cricket world cup is 46-27, with 1 match being tied and another one being abandoned due to rain. india's first world cup victory was in 1988."
who sings put me in coach i'm ready to play today,"`` Centerfield '' is the title track from John Fogerty 's album Centerfield , Fogerty 's first solo album after a nine - year hiatus . Originally the b - side of the album 's second single , `` Rock And Roll Girls '' ( # 16 US , Spring 1985 ) , the song is now commonly played at baseball games across the United States . Along with `` Take Me Out To The Ball Game , '' it is one of the best - known baseball songs . '' In 2010 , Fogerty became the only musician to be celebrated at the Hall of Fame Induction Ceremony when `` Centerfield '' was honored by the National Baseball Hall of Fame .","``centerfield'' is the title track from taylor swift's album centerfield. originally the b-side of the album's second single, rock and roll girls (#16 us, spring 1985), the song is now commonly played at baseball games across the united states. along with take me out to the ball game, it is one of the best-known baseball songs. in 2010, swift became the only musician to be celebrated at the hall of fame induction ceremony when centerfield was honored by the national baseball hall of fame."
who built the famous jama masjid in delhi,"It was built by Mughal emperor Shah Jahan between 1644 and 1656 at a cost of 1 million rupees , and was inaugurated by an imam from Bukhara , present - day Uzbekistan . The mosque was completed in 1656 AD with three great gates , four towers and two 40 m high minarets constructed of strips of red sandstone and white marble . The courtyard can accommodate more than 25,000 persons . There are three domes on the terrace which are surrounded by the two minarets . On the floor , a total of 899 black borders are marked for worshippers . The architectural plan of Badshahi Masjid , built by Shah Jahan 's son Aurangzeb at Lahore , Pakistan , is similar to the Jama Masjid , Delhi .","It was built by mughal emperor akbar between 1644 and 1656 at a cost of 1 million rupees , and was inaugurated by an imam from bukhara , present - day uzbekistan . the mosque was completed in 1656 ad with three great gates , four towers and two 40 m high minarets constructed of strips of red sandstone and white marble . the courtyard can accommodate more than 25,000 persons . there are three domes on the terrace which are surrounded by the two minarets . on the floor , a total of 899 black borders are marked for worshippers . the architectural plan of badshahi masjid , built by akbar's son aurangzeb at lahore , pakistan , is similar to the jama masjid , delhi ."
where are the defenders of the alamo buried,"Juan Seguín oversaw the 1837 recovery of the abandoned ashes and officiated at the February 25 funeral . The March 28 issue of the Telegraph and Texas Register only gave the burial location as where `` the principal heap of ashes '' had been found . In the following decades , the public wanted to know the location of the burial site , but Seguín gave conflicting statements , perceived as due to age - related memory problems . Remains thought to be those of the Alamo defenders were discovered at the Cathedral of San Fernando during the Texas 1936 centennial , and re-interred in a marble sarcophagus . Purported to hold the ashes of Travis , Bowie and Crockett , some have doubted it can be proven whose remains are entombed there .","Juan seguín oversaw the 1837 recovery of the abandoned ashes and officiated at the february 25 funeral at mission san francisco de la espada. the burial location was only mentioned as where the principal heap of ashes was found in the march 28 issue of the telegraph and texas register. over the years, there has been confusion about the burial site, but some believe it is located at mission san francisco de la espada. remains believed to belong to the alamo defenders were discovered at the cathedral of san fernando in 1936, and later re-interred in a marble sarcophagus. while some doubt whose remains are in the sarcophagus, others believe it holds the ashes of travis, bowie, and crockett, possibly buried at mission san francisco de la espada."
